-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  18.5204   Longitude 73.8567 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 635.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,78.0,36.0,7.2,292.4,291.3,241.4,256.6,268.3,284.4,68.2,78.7,75.0,274.2
WD10M,2016,59.4,302.8,318.4,305.6,283.2,263.8,258.8,257.2,281.5,23.7,85.6,84.3,280.1
WD10M,2017,78.7,68.1,312.8,298.2,288.2,249.8,256.6,263.3,286.4,50.5,74.7,95.5,277.9
WD10M,2018,72.8,61.7,320.8,306.8,289.6,259.6,253.3,261.2,281.7,65.8,80.9,74.6,277.6
WD10M,2019,77.2,340.1,320.2,308.5,297.7,255.1,256.1,256.5,251.9,85.5,94.1,94.0,273.7
WD10M,2020,53.3,61.8,303.1,314.3,307.1,241.1,245.2,249.7,274.5,345.4,85.5,91.7,274.8
WD10M,2021,80.9,61.4,351.8,312.1,270.5,255.9,259.7,263.9,255.2,47.2,88.3,85.2,274.8
WD10M,2022,54.8,355.4,17.0,316.9,283.0,254.7,260.3,255.5,265.2,41.6,76.9,79.7,282.0
WD10M,2023,67.2,56.6,359.5,317.1,298.7,253.8,260.0,264.1,275.8,46.8,86.9,92.5,283.9
WD10M,2024,70.8,355.8,312.0,306.2,291.0,248.4,250.9,259.4,274.0,75.6,83.4,82.7,275.1
WS10M,2015,3.0,3.07,2.89,3.28,3.93,5.9,6.73,4.71,3.22,2.51,3.24,3.18,3.81
WS10M,2016,2.81,2.71,2.92,3.58,4.62,5.57,6.03,6.08,4.03,2.84,3.33,3.33,3.99
WS10M,2017,2.83,3.1,2.9,3.53,4.22,5.21,7.12,4.85,2.77,2.3,3.11,3.31,3.78
WS10M,2018,2.62,2.58,2.7,3.13,4.18,5.45,7.22,6.79,3.2,2.66,2.73,3.19,3.88
WS10M,2019,3.01,3.07,3.21,3.44,4.53,4.86,6.04,5.95,4.59,2.79,2.86,2.95,3.95
WS10M,2020,2.85,3.04,3.06,3.09,4.11,4.21,4.85,6.3,2.74,2.1,3.08,3.0,3.54
WS10M,2021,2.27,2.9,2.73,2.83,3.92,4.87,6.01,4.26,4.5,2.38,3.23,2.83,3.56
WS10M,2022,2.72,2.64,2.93,2.98,5.17,4.95,6.41,5.85,3.47,3.08,3.27,3.04,3.89
WS10M,2023,2.83,3.38,3.08,3.02,3.91,5.77,7.01,5.41,4.11,2.67,3.02,3.31,3.96
WS10M,2024,2.95,2.91,3.19,3.13,3.58,4.93,7.53,4.96,4.08,2.71,3.66,3.15,3.9
WS2M,2015,1.9,1.99,1.97,2.42,2.96,4.39,4.96,3.4,2.21,1.55,1.99,1.93,2.64
WS2M,2016,1.74,1.8,2.02,2.63,3.5,4.18,4.41,4.35,2.78,1.77,2.01,2.03,2.77
WS2M,2017,1.75,2.01,1.99,2.55,3.2,3.88,5.21,3.46,1.87,1.42,1.87,2.05,2.61
WS2M,2018,1.6,1.64,1.84,2.26,3.16,4.05,5.28,4.86,2.17,1.62,1.62,1.96,2.68
WS2M,2019,1.91,2.04,2.21,2.48,3.42,3.67,4.4,4.25,3.17,1.82,1.79,1.88,2.76
WS2M,2020,1.81,1.95,2.08,2.23,3.1,3.12,3.55,4.48,1.86,1.34,1.93,1.83,2.44
WS2M,2021,1.39,1.85,1.79,2.02,2.87,3.58,4.37,3.04,3.12,1.5,2.08,1.79,2.45
WS2M,2022,1.72,1.67,1.94,2.13,3.91,3.74,4.68,4.17,2.38,1.99,2.03,1.88,2.7
WS2M,2023,1.78,2.11,2.09,2.16,2.96,4.34,5.12,3.87,2.85,1.66,1.88,2.08,2.75
WS2M,2024,1.84,1.87,2.21,2.29,2.68,3.66,5.5,3.52,2.8,1.73,2.31,1.98,2.7
