-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  21.2514   Longitude 81.6296 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,58.0,73.1,358.4,257.4,271.0,253.1,258.3,258.6,306.0,50.2,95.7,70.9,272.5
WD10M,2016,66.9,71.5,342.7,264.8,253.3,205.5,236.6,246.7,15.2,354.8,24.7,52.0,266.5
WD10M,2017,80.7,46.7,288.4,275.1,258.2,245.5,248.7,238.5,265.8,30.2,62.6,74.4,260.3
WD10M,2018,84.4,102.5,250.4,245.3,231.7,241.1,251.4,262.2,278.6,31.7,99.9,68.9,247.7
WD10M,2019,86.2,15.1,359.5,270.1,287.6,245.6,242.3,248.4,201.1,20.0,40.1,69.3,259.4
WD10M,2020,67.0,66.8,105.1,252.1,262.4,257.5,242.2,249.0,266.7,43.7,47.8,70.7,267.1
WD10M,2021,72.7,68.6,302.5,279.3,275.6,250.9,242.6,244.7,189.6,357.3,56.1,59.8,270.1
WD10M,2022,64.2,118.8,74.0,246.1,243.7,244.0,221.6,247.7,239.3,62.9,36.0,63.4,245.5
WD10M,2023,72.9,30.7,140.7,301.5,285.7,271.2,237.5,256.7,262.9,342.0,78.1,79.9,286.8
WD10M,2024,86.8,101.3,109.6,281.7,246.2,244.6,241.8,248.5,259.8,18.4,54.1,69.4,256.5
WS10M,2015,2.21,2.27,2.31,3.42,3.67,3.98,4.32,3.63,2.48,1.74,1.99,2.04,2.84
WS10M,2016,2.11,2.29,2.4,3.62,3.53,3.45,4.38,4.28,2.9,2.08,1.81,1.93,2.9
WS10M,2017,2.06,2.29,2.64,3.52,3.01,4.12,4.64,3.51,2.09,1.68,1.88,1.85,2.78
WS10M,2018,1.88,2.02,2.27,3.03,4.07,4.34,4.64,4.27,3.22,2.1,1.81,2.17,2.99
WS10M,2019,2.01,2.31,2.52,2.72,3.37,3.95,4.88,3.64,3.12,2.17,1.73,2.1,2.88
WS10M,2020,2.21,2.29,1.99,2.55,2.73,3.35,2.91,4.15,1.85,2.06,2.15,1.56,2.48
WS10M,2021,2.02,1.91,2.21,2.25,3.17,3.89,4.05,3.29,2.78,2.06,2.2,2.15,2.67
WS10M,2022,2.02,2.08,2.13,3.14,3.74,3.29,3.37,3.58,2.97,2.09,1.69,1.94,2.67
WS10M,2023,2.25,2.32,1.95,2.49,2.85,4.08,3.62,4.09,2.38,1.92,2.04,2.15,2.68
WS10M,2024,2.13,2.38,2.43,2.75,2.94,3.5,4.08,3.51,3.01,2.1,1.82,2.27,2.75
WS2M,2015,1.35,1.37,1.54,2.41,2.69,2.97,3.11,2.5,1.62,1.03,1.17,1.23,1.92
WS2M,2016,1.28,1.46,1.57,2.53,2.56,2.6,3.18,2.97,1.92,1.29,1.11,1.15,1.97
WS2M,2017,1.24,1.42,1.7,2.43,2.18,3.1,3.35,2.42,1.35,1.02,1.18,1.13,1.88
WS2M,2018,1.13,1.25,1.45,2.06,2.98,3.26,3.38,2.97,2.14,1.27,1.05,1.33,2.03
WS2M,2019,1.21,1.47,1.67,1.84,2.47,2.96,3.54,2.53,2.07,1.37,1.07,1.28,1.96
WS2M,2020,1.38,1.43,1.28,1.71,1.88,2.45,2.07,2.87,1.18,1.29,1.31,0.96,1.65
WS2M,2021,1.24,1.17,1.4,1.48,2.25,2.88,2.9,2.26,1.83,1.29,1.37,1.32,1.79
WS2M,2022,1.23,1.25,1.31,2.14,2.74,2.45,2.43,2.46,1.96,1.33,1.05,1.18,1.8
WS2M,2023,1.34,1.39,1.26,1.68,2.02,3.04,2.61,2.84,1.56,1.19,1.19,1.31,1.79
WS2M,2024,1.26,1.49,1.59,1.86,2.12,2.63,2.96,2.41,1.99,1.34,1.13,1.4,1.85
