DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.5089,3.7337,3.624,96.25,62.35,26.24,4.74,50.4,2.84,1.8,Bhopal
2015-02-01,1.8761,5.1667,5.1859,96.0,45.58,34.75,7.0,51.0,2.98,1.88,Bhopal
2015-03-01,1.8828,5.2874,5.5661,95.95,47.27,38.84,10.3,355.7,3.03,1.99,Bhopal
2015-04-01,2.479,5.19,6.5998,95.44,29.79,42.75,17.76,289.8,3.76,2.68,Bhopal
2015-05-01,2.3695,6.0509,7.1558,95.14,21.39,45.79,23.75,302.0,4.82,3.57,Bhopal
2015-06-01,2.7014,3.6358,5.917,94.86,54.43,44.05,23.34,279.2,4.76,3.58,Bhopal
2015-07-01,2.5877,1.3118,4.0819,94.86,80.09,35.93,21.88,264.9,5.78,4.19,Bhopal
2015-08-01,2.713,1.2091,4.0771,95.13,88.57,30.94,21.48,294.0,3.94,2.74,Bhopal
2015-09-01,2.2999,4.2142,5.5426,95.42,79.94,31.88,17.18,306.6,3.14,2.08,Bhopal
2015-10-01,1.7798,4.8334,5.0772,95.86,60.9,34.59,14.09,2.3,2.18,1.39,Bhopal
2015-11-01,1.7503,3.9175,4.1573,96.02,51.86,32.16,11.61,67.0,2.25,1.39,Bhopal
2015-12-01,1.2521,5.7758,4.3548,96.2,30.08,32.7,5.67,42.2,2.84,1.71,Bhopal
2016-01-01,1.4362,5.2238,4.345,96.16,36.97,32.44,4.4,59.0,2.45,1.52,Bhopal
2016-02-01,2.0225,5.081,5.1816,96.03,27.59,34.64,8.46,40.5,3.18,1.98,Bhopal
2016-03-01,2.149,5.5546,6.0859,95.78,25.22,40.45,15.44,333.6,3.01,1.95,Bhopal
2016-04-01,2.1917,6.5338,7.0536,95.38,19.41,43.44,21.03,289.5,4.25,3.01,Bhopal
2016-05-01,2.4648,5.8378,7.0867,95.06,27.36,47.18,24.91,282.6,4.75,3.53,Bhopal
2016-06-01,2.8826,3.503,6.0398,94.87,49.36,44.65,24.14,281.8,4.0,3.01,Bhopal
2016-07-01,2.4329,0.6953,3.4793,94.82,88.77,32.35,22.84,273.1,4.28,3.09,Bhopal
2016-08-01,2.2829,0.8218,3.2914,94.87,90.95,30.32,21.14,257.8,4.68,3.26,Bhopal
2016-09-01,2.5351,2.8738,4.9385,95.26,85.91,30.71,20.06,323.2,3.07,2.05,Bhopal
2016-10-01,1.8173,5.1994,5.2733,95.63,71.64,30.29,12.91,326.1,2.4,1.5,Bhopal
2016-11-01,1.3658,6.0163,4.859,96.04,50.18,30.21,11.31,33.1,2.01,1.24,Bhopal
2016-12-01,1.1688,6.1723,4.4335,96.14,48.51,29.71,7.14,50.1,2.56,1.52,Bhopal
2017-01-01,1.7659,4.175,4.2053,96.14,40.83,31.35,3.06,61.9,2.77,1.73,Bhopal
2017-02-01,1.487,6.3974,5.4914,96.07,28.01,35.54,8.26,21.4,3.05,1.91,Bhopal
2017-03-01,1.705,7.0548,6.6367,95.66,21.68,41.73,10.48,328.0,3.13,2.04,Bhopal
