DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.4515,1.4311,2.3177,100.37,52.1,25.05,4.72,293.2,3.01,1.86,Lucknow
2015-02-01,1.9186,3.624,4.3174,100.07,43.43,32.94,6.89,287.3,2.79,1.69,Lucknow
2015-03-01,1.873,5.2217,5.521,99.96,48.25,38.42,9.46,298.1,3.36,2.14,Lucknow
2015-04-01,2.3659,4.7786,6.1219,99.39,41.46,41.78,18.14,311.9,3.17,2.12,Lucknow
2015-05-01,2.6806,5.2661,6.9732,98.86,22.94,47.48,22.19,307.0,3.06,2.1,Lucknow
2015-06-01,2.7374,4.0082,6.2234,98.53,33.89,48.16,24.54,341.4,3.82,2.82,Lucknow
2015-07-01,2.8675,2.8222,5.4854,98.56,71.06,41.2,24.72,264.9,3.84,2.71,Lucknow
2015-08-01,2.8121,2.5994,5.2411,98.83,75.65,35.93,24.69,283.3,2.57,1.7,Lucknow
2015-09-01,2.3366,4.2631,5.6436,99.16,59.32,38.32,20.12,301.4,2.98,1.92,Lucknow
2015-10-01,1.8761,4.0951,4.7189,99.75,42.11,38.84,16.34,338.1,2.22,1.35,Lucknow
2015-11-01,1.7736,2.6837,3.5102,100.02,36.58,33.9,13.66,317.9,2.42,1.49,Lucknow
2015-12-01,1.6378,2.4461,3.047,100.27,32.23,32.26,6.05,289.8,2.54,1.58,Lucknow
2016-01-01,1.6121,2.6112,3.1675,100.24,30.74,30.84,4.12,291.5,2.56,1.61,Lucknow
2016-02-01,1.8053,3.9336,4.3692,100.09,24.15,37.69,7.67,301.0,2.9,1.81,Lucknow
2016-03-01,2.0518,4.9459,5.6227,99.74,26.15,41.02,14.22,295.9,3.3,2.11,Lucknow
2016-04-01,2.4905,5.3246,6.6326,99.05,15.22,45.45,22.89,293.1,4.34,2.93,Lucknow
2016-05-01,2.9417,3.9958,6.4279,98.81,30.17,47.25,25.44,93.2,3.05,2.15,Lucknow
2016-06-01,2.9892,2.9844,5.8618,98.67,46.16,44.87,27.15,111.8,3.33,2.42,Lucknow
2016-07-01,2.8246,1.2108,4.3162,98.6,82.38,35.99,25.1,120.0,3.16,2.2,Lucknow
2016-08-01,2.617,2.5423,4.921,98.71,85.27,33.92,24.57,102.7,3.14,2.09,Lucknow
2016-09-01,2.537,2.5205,4.6973,99.07,83.95,33.88,22.73,246.3,2.56,1.66,Lucknow
2016-10-01,1.9464,4.0906,4.799,99.48,63.64,33.22,14.03,256.2,1.87,1.11,Lucknow
2016-11-01,1.7508,3.1541,3.7402,99.97,53.31,29.87,9.67,284.1,2.22,1.31,Lucknow
2016-12-01,1.4786,1.817,2.5831,100.18,46.89,27.78,6.05,285.3,2.4,1.44,Lucknow
2017-01-01,1.6082,2.3321,3.0602,100.27,47.59,28.47,2.48,293.6,3.01,1.83,Lucknow
2017-02-01,1.7815,4.7388,4.7806,100.08,36.95,33.71,7.78,292.8,3.13,1.9,Lucknow
2017-03-01,1.9829,5.5267,5.9306,99.57,28.67,43.73,9.64,307.2,3.61,2.28,Lucknow
2017-04-01,2.5382,5.5598,6.7954,99.06,17.99,45.15,19.68,316.1,3.62,2.39,Lucknow
2017-05-01,2.9815,4.369,6.6377,98.86,28.09,46.83,25.14,32.2,3.2,2.26,Lucknow
2017-06-01,3.113,3.2016,6.0468,98.51,39.24,47.9,26.95,282.0,3.23,2.34,Lucknow
2017-07-01,2.5622,1.1554,3.9691,98.56,83.38,37.0,24.88,106.7,3.36,2.35,Lucknow
2017-08-01,2.8006,1.1995,4.2468,98.75,86.42,34.12,23.72,176.0,2.99,1.98,Lucknow
2017-09-01,2.4794,3.0125,4.9932,99.11,81.86,33.99,21.81,240.3,2.49,1.59,Lucknow
2017-10-01,1.998,3.8861,4.7297,99.48,62.54,34.08,15.72,247.9,1.44,0.92,Lucknow
2017-11-01,1.7122,2.9398,3.5858,99.99,56.87,29.89,8.3,289.6,2.15,1.3,Lucknow
2017-12-01,1.5514,2.159,2.8274,100.24,47.82,28.07,5.9,289.4,2.21,1.37,Lucknow
2018-01-01,1.6747,2.5594,3.2705,100.04,40.13,29.71,4.07,292.0,2.95,1.75,Lucknow
2018-02-01,1.9231,3.732,4.3942,100.0,34.99,34.17,8.06,296.7,3.1,1.89,Lucknow
2018-03-01,1.9543,5.6626,5.9794,99.54,20.78,40.81,14.6,290.7,3.57,2.26,Lucknow
2018-04-01,2.621,4.4885,6.2748,99.22,29.02,43.55,20.71,66.8,3.55,2.4,Lucknow
2018-05-01,3.091,3.8974,6.413,98.85,27.26,46.97,24.52,92.8,3.44,2.47,Lucknow
2018-06-01,3.409,2.3647,5.875,98.36,40.53,46.68,27.81,167.1,4.12,3.03,Lucknow
2018-07-01,2.6561,1.3116,4.1702,98.38,75.59,40.94,25.37,98.2,3.93,2.78,Lucknow
2018-08-01,2.448,0.954,3.6389,98.61,89.14,33.32,23.48,102.3,2.67,1.79,Lucknow
2018-09-01,2.2217,2.928,4.5893,99.2,86.9,31.77,19.67,232.0,3.16,2.05,Lucknow
2018-10-01,1.7796,4.8569,5.0693,99.82,69.63,32.24,15.87,299.4,1.93,1.16,Lucknow
2018-11-01,1.7347,2.994,3.6511,100.08,61.09,30.84,10.61,290.6,2.19,1.31,Lucknow
2018-12-01,1.5514,3.0197,3.2525,100.31,51.82,26.47,2.82,293.7,2.47,1.46,Lucknow
2019-01-01,1.7287,2.6525,3.3319,100.36,50.75,26.62,4.44,289.0,2.7,1.65,Lucknow
2019-02-01,1.9433,2.8615,3.888,100.12,50.53,32.49,6.33,312.9,3.03,1.87,Lucknow
2019-03-01,2.1048,5.0477,5.7725,99.8,38.65,39.71,7.54,301.5,3.19,2.01,Lucknow
2019-04-01,2.339,5.4005,6.5623,99.28,26.61,45.72,17.06,312.9,3.3,2.2,Lucknow
2019-05-01,2.67,5.6966,7.1945,98.88,18.59,47.4,24.4,293.7,4.15,2.93,Lucknow
2019-06-01,2.8286,3.5436,5.9626,98.54,35.11,47.48,28.14,201.6,3.7,2.72,Lucknow
2019-07-01,2.9302,1.3291,4.5415,98.47,78.7,41.51,25.35,154.1,3.43,2.4,Lucknow
2019-08-01,2.705,1.931,4.6464,98.68,85.83,34.25,24.98,107.7,3.03,2.02,Lucknow
2019-09-01,2.3698,1.3793,3.7481,99.18,88.28,33.91,21.04,100.4,2.99,1.97,Lucknow
2019-10-01,2.0364,2.6693,4.0416,99.84,82.18,30.04,15.26,236.2,1.97,1.21,Lucknow
2019-11-01,1.8086,1.9654,3.1505,100.05,76.13,28.31,12.42,266.2,2.26,1.36,Lucknow
2019-12-01,1.3925,1.1717,2.1662,100.42,74.63,23.94,1.76,266.9,2.4,1.47,Lucknow
2020-01-01,1.4664,2.1089,2.7502,100.31,75.57,23.04,2.66,262.3,2.71,1.65,Lucknow
2020-02-01,1.8588,3.7882,4.333,100.29,60.94,27.67,4.27,271.9,2.66,1.62,Lucknow
2020-03-01,2.0102,4.2113,5.1197,99.84,56.39,35.95,11.14,290.9,3.15,2.02,Lucknow
2020-04-01,2.3942,5.101,6.3881,99.46,37.2,41.52,15.67,298.6,3.26,2.13,Lucknow
2020-05-01,2.6359,5.1542,6.8146,99.01,35.2,47.77,22.78,6.3,3.22,2.3,Lucknow
