DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.7635,4.877,4.7722,100.27,53.44,35.25,13.88,49.1,3.11,2.07,Mumbai
2015-02-01,1.7594,5.7914,5.7319,100.14,43.43,39.02,16.51,5.2,3.09,2.14,Mumbai
2015-03-01,2.034,5.7586,6.4174,100.07,50.36,43.45,14.11,341.2,3.05,2.19,Mumbai
2015-04-01,2.4962,5.3122,6.9559,99.84,56.22,42.22,20.8,282.0,2.85,2.18,Mumbai
2015-05-01,2.6165,5.2925,7.1134,99.66,61.29,40.4,24.16,279.0,3.26,2.53,Mumbai
2015-06-01,2.4238,1.9733,4.5833,99.34,80.54,37.65,24.83,224.0,5.24,3.97,Mumbai
2015-07-01,2.7514,1.1381,4.5094,99.48,86.62,30.85,24.11,244.3,5.47,4.09,Mumbai
2015-08-01,2.6201,1.6051,4.601,99.64,87.4,31.14,23.92,259.5,3.74,2.72,Mumbai
2015-09-01,2.4259,2.8176,5.0981,99.73,84.46,34.21,20.65,281.4,2.88,2.0,Mumbai
2015-10-01,2.4134,3.0348,4.9466,99.96,75.88,35.3,20.57,75.5,2.54,1.64,Mumbai
2015-11-01,1.9925,3.553,4.4513,100.03,69.43,33.4,18.04,74.1,3.2,2.07,Mumbai
2015-12-01,1.601,5.1626,4.6577,100.23,52.73,35.64,12.72,68.5,3.22,2.07,Mumbai
2016-01-01,1.6646,5.316,4.8926,100.27,45.48,37.5,13.04,43.2,2.96,1.91,Mumbai
2016-02-01,1.9258,5.4367,5.6364,100.17,50.44,38.77,15.2,323.0,2.69,1.89,Mumbai
2016-03-01,2.0263,5.8882,6.5239,100.01,47.83,42.68,19.51,322.4,2.83,2.05,Mumbai
2016-04-01,2.2478,5.939,7.0536,99.78,53.82,41.66,22.0,307.0,3.16,2.4,Mumbai
2016-05-01,2.5411,5.4646,7.0807,99.6,61.31,40.37,24.36,269.6,3.67,2.88,Mumbai
2016-06-01,2.6892,2.2644,5.1058,99.42,77.23,39.19,25.27,253.9,4.61,3.55,Mumbai
2016-07-01,2.1125,0.3432,3.0787,99.39,91.17,29.23,24.03,248.9,4.95,3.68,Mumbai
2016-08-01,2.4838,0.9091,3.9235,99.46,90.72,29.24,23.41,248.0,5.04,3.68,Mumbai
2016-09-01,2.2718,1.8965,4.2581,99.69,90.0,30.28,22.26,283.6,3.53,2.49,Mumbai
2016-10-01,2.0347,3.8592,4.9214,99.88,78.89,32.1,16.65,22.5,2.88,1.87,Mumbai
2016-11-01,1.7141,5.274,5.1139,100.11,61.15,33.43,15.04,86.5,3.4,2.2,Mumbai
2016-12-01,1.3774,5.9681,4.8703,100.15,53.87,33.86,13.48,81.6,3.29,2.11,Mumbai
2017-01-01,1.7498,4.9214,4.8514,100.21,48.83,36.11,12.13,56.2,3.08,2.0,Mumbai
2017-02-01,1.8113,5.7487,5.7758,100.16,37.84,40.68,15.76,30.7,3.13,2.15,Mumbai
2017-03-01,2.1653,6.0586,6.6362,99.91,46.6,44.11,16.72,311.4,2.88,2.1,Mumbai
