DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.6505,4.6042,4.3541,98.46,61.16,28.9,5.07,58.0,2.21,1.35,Raipur
2015-02-01,1.8953,5.357,5.3393,98.25,45.48,36.4,7.45,73.1,2.27,1.37,Raipur
2015-03-01,1.8826,5.5685,5.8639,98.12,39.92,39.79,12.5,358.4,2.31,1.54,Raipur
2015-04-01,2.3741,5.1396,6.475,97.64,35.56,43.47,20.17,257.4,3.42,2.41,Raipur
2015-05-01,2.4775,5.2099,6.7649,97.23,25.68,47.46,25.34,271.0,3.67,2.69,Raipur
2015-06-01,2.8176,2.4158,5.2178,97.0,62.15,44.84,23.93,253.1,3.98,2.97,Raipur
2015-07-01,2.7845,1.5192,4.4285,97.03,84.14,34.31,23.12,258.3,4.32,3.11,Raipur
2015-08-01,2.7706,1.6171,4.4832,97.2,85.71,33.11,22.39,258.6,3.63,2.5,Raipur
2015-09-01,2.4509,3.3211,5.2056,97.52,83.29,32.09,19.45,306.0,2.48,1.62,Raipur
2015-10-01,2.0177,4.4002,5.185,98.03,75.57,32.15,17.09,50.2,1.74,1.03,Raipur
2015-11-01,1.806,4.1858,4.4489,98.26,73.66,30.19,13.88,95.7,1.99,1.17,Raipur
2015-12-01,1.5871,3.787,3.8165,98.4,61.56,30.71,6.17,70.9,2.04,1.23,Raipur
2016-01-01,1.6639,4.8662,4.4426,98.39,47.25,33.94,4.68,66.9,2.11,1.28,Raipur
2016-02-01,2.2594,4.0349,4.8787,98.18,35.98,38.09,11.26,71.5,2.29,1.46,Raipur
2016-03-01,2.3215,4.8329,5.8723,97.93,29.93,41.84,17.65,342.7,2.4,1.57,Raipur
2016-04-01,2.0258,6.4394,6.9461,97.44,21.41,46.5,22.92,264.8,3.62,2.53,Raipur
2016-05-01,2.465,5.49,6.8066,97.18,33.51,45.76,25.73,253.3,3.53,2.56,Raipur
2016-06-01,2.7845,3.5518,5.8694,97.02,55.31,44.48,25.5,205.5,3.45,2.6,Raipur
2016-07-01,2.7425,1.0711,4.038,96.97,82.44,36.05,23.65,236.6,4.38,3.18,Raipur
2016-08-01,2.6083,1.1674,3.8995,97.03,87.32,32.19,21.6,246.7,4.28,2.97,Raipur
2016-09-01,2.6726,1.4278,4.0874,97.3,88.94,31.09,22.1,15.2,2.9,1.92,Raipur
2016-10-01,1.884,4.7882,5.2145,97.76,76.93,30.68,14.16,354.8,2.08,1.29,Raipur
2016-11-01,1.5869,5.2418,4.7971,98.22,70.06,28.28,10.35,24.7,1.81,1.11,Raipur
2016-12-01,1.4791,5.2807,4.4441,98.34,67.44,26.73,6.67,52.0,1.93,1.15,Raipur
2017-01-01,1.6392,4.8197,4.4998,98.39,59.44,30.8,4.93,80.7,2.06,1.24,Raipur
2017-02-01,1.2946,6.8592,5.6398,98.26,39.84,36.71,9.83,46.7,2.29,1.42,Raipur
2017-03-01,1.7753,6.6355,6.4968,97.79,25.64,44.32,12.75,288.4,2.64,1.7,Raipur
2017-04-01,2.1506,6.6955,7.2626,97.4,14.7,46.0,20.48,275.1,3.52,2.43,Raipur
