date,city,energy_generated,predicted_energy,energy_efficiency_index,sunshine_hours,temperature,wind_speed,allsky_sfc_sw_dwn,rh2m
2015-01-01,Ahmedabad,279.75,271.3575,37.45782229125381,3.5384,20.065,2.93,4.423,39.67
2015-02-01,Ahmedabad,334.59,324.55229999999995,40.18886689472268,4.42544,24.965,2.9,5.5318,28.65
2015-03-01,Ahmedabad,370.735,359.61295,41.29114245491482,4.96856,27.99,3.01,6.2107,32.14
2015-04-01,Ahmedabad,416.025,403.54425,40.97960992907801,5.482,33.345,3.67,6.8525,36.22
2015-05-01,Ahmedabad,471.11,456.9767,40.47837533165615,6.07856,35.065,4.56,7.5982,35.0
2015-06-01,Ahmedabad,405.37,393.2089,37.284590593360015,4.892320000000001,35.185,4.98,6.1154,58.01
2015-07-01,Ahmedabad,335.845,325.76965,32.190274817120866,3.46312,31.27,5.97,4.3289,70.4
2015-08-01,Ahmedabad,303.335,294.23495,36.630414831130686,3.71096,29.035,3.57,4.6387,81.15
2015-09-01,Ahmedabad,338.41,328.25769999999994,40.18853852950398,4.47056,29.63,2.95,5.5882,68.67
2015-10-01,Ahmedabad,331.00500000000005,321.07485,42.36874846399607,4.58248,27.65,2.23,5.7281,46.85
2015-11-01,Ahmedabad,277.115,268.80155,38.660879707136324,3.6178400000000006,25.735,2.55,4.5223,33.79
2015-12-01,Ahmedabad,287.28,278.6616,37.32033547770237,3.60768,22.185,3.09,4.5096,19.34
2016-01-01,Ahmedabad,283.58,275.0726,38.213796746477506,3.65088,21.685,2.77,4.5636,26.97
2016-02-01,Ahmedabad,333.315,323.31555,39.45564783423929,4.33784,25.155,3.11,5.4223,22.32
2016-03-01,Ahmedabad,387.335,375.71495,41.29300566301641,5.17016,30.16,3.21,6.4627,24.74
2016-04-01,Ahmedabad,435.48,422.4155999999999,41.89208948676708,5.82528,32.78,3.57,7.2816,30.29
2016-05-01,Ahmedabad,469.52,455.4344,39.84683173896217,5.973120000000001,36.91,4.81,7.4664,35.64
2016-06-01,Ahmedabad,422.07,409.4079,37.591112156125085,5.117920000000001,36.74,5.11,6.3974,46.93
2016-07-01,Ahmedabad,308.155,298.91034999999994,34.01840043804258,3.45848,32.435,4.6,4.3231,68.59
2016-08-01,Ahmedabad,273.37,265.1689,34.06089270762729,3.1259200000000003,29.315,3.9,3.9074,81.14
2016-09-01,Ahmedabad,334.78000000000003,324.7366,40.09879169421527,4.418880000000001,28.43,2.93,5.5236,74.8
2016-10-01,Ahmedabad,296.28000000000003,287.39160000000004,41.806831779287926,4.10688,26.105,1.98,5.1336,62.53
2016-11-01,Ahmedabad,297.385,288.46345,39.91016405058942,3.96136,24.155,2.49,4.9517,38.24
2016-12-01,Ahmedabad,287.78,279.1466,38.01745912640957,3.67968,22.48,2.89,4.5996,31.4
